path,bytes,sha256,role,licence,release_scope
02_SVG_PUBLICATION_VECTOR/Figure_6_1.svg,49475,b9ed74eac6b1d6d8e4c776e8d3a53242e8167235288427a180b42e96a0ea24cc,publication_vector_derivative,CC BY 4.0,PUBLIC_RELEASE
02_SVG_PUBLICATION_VECTOR/Figure_6_2.svg,55127,cc9ab3afe64ad2f0098e8650940eadb6eee060d274c77e00f7fc40e3d70621b8,publication_vector_derivative,CC BY 4.0,PUBLIC_RELEASE
02_SVG_PUBLICATION_VECTOR/Figure_7_1.svg,86085,d4f789c5d4b9a260044af8f554fdf02cb960e27304f7d934a631bffc65247694,publication_vector_derivative,CC BY 4.0,PUBLIC_RELEASE
02_SVG_PUBLICATION_VECTOR/Figure_7_2.svg,64329,0440b07930e5a20f98f1583cec903ad1b9e211585eb34704c17c5a5ca638ab03,publication_vector_derivative,CC BY 4.0,PUBLIC_RELEASE
02_SVG_PUBLICATION_VECTOR/Figure_8_1.svg,78793,bb825fd8f5ba0142d7296476f0e2a9c4a6c8a2ec268c313bc18e55a8872ad193,publication_vector_derivative,CC BY 4.0,PUBLIC_RELEASE
02_SVG_PUBLICATION_VECTOR/Figure_8_2.svg,78255,955ed10ec272c02ddc91a48b72f1bbfc885339637296ed8e6915a4cf346aa3b9,publication_vector_derivative,CC BY 4.0,PUBLIC_RELEASE
02_SVG_PUBLICATION_VECTOR/Figure_9_1.svg,82630,4f41d2a4b17d929d21f073abdbb702b1ca1edab1267a6bf6466d4971eb8caeb3,publication_vector_derivative,CC BY 4.0,PUBLIC_RELEASE
02_SVG_PUBLICATION_VECTOR/Figure_9_2.svg,82472,35ef87831b4c4f4c953deffb8307246bf27e0a309a6f12883e3452d0e80ce118,publication_vector_derivative,CC BY 4.0,PUBLIC_RELEASE
03_PPTX_NATIVE_EDITABLE/All_18_Figures_v4.3.pptx,60405,e5cf5457b3a2796c4a9a808f62af13b5247a7f150b3f1ca39bf10a3df9df44cd,editable_presentation_derivative,CC BY 4.0,PUBLIC_RELEASE
03_PPTX_NATIVE_EDITABLE/Figure_1_1.pptx,9785,d6e6143c4570bac0331d9a2faa5514654b7f0f994e87026b4b705b3fa6da7554,editable_presentation_derivative,CC BY 4.0,PUBLIC_RELEASE
03_PPTX_NATIVE_EDITABLE/Figure_1_2.pptx,9441,959704dcb08550b0c0b4b25186bf19b9fcd63cf82339f4160a3e68fccfefe25a,editable_presentation_derivative,CC BY 4.0,PUBLIC_RELEASE
03_PPTX_NATIVE_EDITABLE/Figure_2_1.pptx,10185,13621ee527e7a81879e5f1b3bec845095fef20c371ec8f5d047b6097bc583a2e,editable_presentation_derivative,CC BY 4.0,PUBLIC_RELEASE
03_PPTX_NATIVE_EDITABLE/Figure_2_2.pptx,9667,7c61da756b8198ad6790d66871a368604feb059b7360b4349e15c88485a6cd6e,editable_presentation_derivative,CC BY 4.0,PUBLIC_RELEASE
03_PPTX_NATIVE_EDITABLE/Figure_3_1.pptx,10151,44c8e1349f42e89c762d5587101ce28702f90260bcf4d1dae2f3ca8447a5aded,editable_presentation_derivative,CC BY 4.0,PUBLIC_RELEASE
03_PPTX_NATIVE_EDITABLE/Figure_3_2.pptx,9466,99fb459f5f0d26b9b9b1b839cd18286705f099ff4c527f9f100a07bbaf7da9e0,editable_presentation_derivative,CC BY 4.0,PUBLIC_RELEASE
03_PPTX_NATIVE_EDITABLE/Figure_4_1.pptx,10216,cbe423fb6a1b042165a953d2463ae7daa8a74d040d3f8bb05b37aad144c7695f,editable_presentation_derivative,CC BY 4.0,PUBLIC_RELEASE
03_PPTX_NATIVE_EDITABLE/Figure_4_2.pptx,9552,c1675d44cdf3ebd6ce8c933ee0307ca0500b415932b7c80fba444437d24a982f,editable_presentation_derivative,CC BY 4.0,PUBLIC_RELEASE
03_PPTX_NATIVE_EDITABLE/Figure_5_1.pptx,10116,de243497c539651e2d3652adf635e063f807d05b4f872d8ef781b1945455de02,editable_presentation_derivative,CC BY 4.0,PUBLIC_RELEASE
03_PPTX_NATIVE_EDITABLE/Figure_5_2.pptx,9759,4502c018d273577f6fbe5c9d7f11039be3e91a3540d1c3dec58c965b1486681b,editable_presentation_derivative,CC BY 4.0,PUBLIC_RELEASE
03_PPTX_NATIVE_EDITABLE/Figure_6_1.pptx,9548,5a61b3a99b0c6bb0c050cb89a21835de0cc8b45fc5cdf04fe8f55935c7a50f5e,editable_presentation_derivative,CC BY 4.0,PUBLIC_RELEASE
03_PPTX_NATIVE_EDITABLE/Figure_6_2.pptx,9889,65e8023e230bc3367f3c338418b3fced7f341e385710d3bba3eb4e872a8f71b3,editable_presentation_derivative,CC BY 4.0,PUBLIC_RELEASE
03_PPTX_NATIVE_EDITABLE/Figure_7_1.pptx,10503,9e9eae64c9ace4d88378bb28ca44df7874ead00926a6368fa30215c8a2f44b9d,editable_presentation_derivative,CC BY 4.0,PUBLIC_RELEASE
03_PPTX_NATIVE_EDITABLE/Figure_7_2.pptx,9533,8ee8e139907f3907504a37dedb6745c065ec2502c131c125b7234c8211d4dd1b,editable_presentation_derivative,CC BY 4.0,PUBLIC_RELEASE
03_PPTX_NATIVE_EDITABLE/Figure_8_1.pptx,10398,50cf22cfc721ea1f973441eb6c10fd0f2928079acca50105e058ae21bdd14baf,editable_presentation_derivative,CC BY 4.0,PUBLIC_RELEASE
03_PPTX_NATIVE_EDITABLE/Figure_8_2.pptx,9895,eeeda6e11524e2aae86aff935064841fe3c79eddb0fffdd88b762819f90fc22e,editable_presentation_derivative,CC BY 4.0,PUBLIC_RELEASE
03_PPTX_NATIVE_EDITABLE/Figure_9_1.pptx,10288,d72a7289a98f99c53b001b550ae3ead9317fb53d2df19fc0551466879e52ff58,editable_presentation_derivative,CC BY 4.0,PUBLIC_RELEASE
03_PPTX_NATIVE_EDITABLE/Figure_9_2.pptx,9542,fefdcef5db94509bc325b31cfac753ec70c7b7cd3b15ffddf9ff764f0e114f59,editable_presentation_derivative,CC BY 4.0,PUBLIC_RELEASE
